scenario,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
B,physics_only,physics_only,0.2,0.0,0.6363157034356941,1.3212020345943516,0.749382576027503,7.743512282961618,0.9566666666666667,50
B,stretched_exp,stretched_exp,0.2,0.0,0.5844795983157897,1.1202057344838976,0.819835849964608,6.8496137014051595,0.9583333333333334,50
B,physics_lstm,physics_lstm,0.2,0.0,0.3773634733773252,0.4818864728390644,0.9666602557050983,6.819521049005036,0.9066666666666666,50
C,physics_only,physics_only,0.2,0.0,0.08210998238065682,0.2120345730715418,0.9649844550968227,1.6125312765573374,1.0,50
C,stretched_exp,stretched_exp,0.2,0.0,0.09767905463581089,0.16874807533933578,0.977821856702459,2.1521650144268247,0.9545454545454545,50
C,physics_lstm,physics_lstm,0.2,0.0,0.8469493341445923,1.231923931005328,-0.1819941100565412,21.125764496630893,0.5,50
D,physics_only,physics_only,0.2,0.0,1.3160017178174581,2.878955005387468,-0.7958748539054215,21.11831998015657,0.7540106951871658,39
D,stretched_exp,stretched_exp,0.2,0.0,1.1286792292500285,2.3089549977686077,-0.15514699192751058,17.254989353251958,0.6510695187165776,39
D,physics_lstm,physics_lstm,0.2,0.0,1.3021404559795673,1.9091171274118794,0.21028304492167327,20.507285312733107,0.5,39
E,physics_only,physics_only,0.2,0.0,2.34133336970912,4.804565506568851,-7.616074080449103,50.834261283652204,0.695187165775401,39
E,stretched_exp,stretched_exp,0.2,0.0,2.1235667271477507,4.456294760261577,-6.412232016255158,43.4351070603753,0.6550802139037433,39
E,physics_lstm,physics_lstm,0.2,0.0,1.3860925099788568,1.7543253964203511,-0.14873932132649448,27.340119793162298,0.5,39
