arm,scenario,use_J,j_bin,r2,mae,n_samples,auroc
e14a_noJ,E,False,all,0.33622029332191783,1.22349065096737,603,0.7811431093456913
e14a_noJ,E,False,J_lt_0.5,-0.08763722873151147,1.2721178135541678,258,nan
e14a_noJ,E,False,J_0.5_0.8,0.2524605597243629,1.1108598789948754,188,nan
e14a_noJ,E,False,J_ge_0.8,0.5402662269797078,1.2784510151930715,157,nan
e14a_J,E,True,all,0.44260942623225275,1.208356248112652,609,0.7760079426746094
e14a_J,E,True,J_lt_0.5,0.21738603817397972,1.0700779305197037,251,nan
e14a_J,E,True,J_0.5_0.8,0.48678810043273957,1.1320838425425968,203,nan
e14a_J,E,True,J_ge_0.8,0.4494584793735735,1.5321701580904008,155,nan
e14b_J,D,True,all,0.6517874791470513,0.7858719246215287,621,0.8616718019660861
e14b_J,D,True,J_lt_0.5,0.6299646536897752,0.8094680447344658,263,nan
e14b_J,D,True,J_0.5_0.8,0.6745995245865314,0.7611523122264643,215,nan
e14b_J,D,True,J_ge_0.8,0.6493780390314884,0.7796407153574477,143,nan
e14b_J,E,True,all,0.48462688683496236,1.018934211804544,594,0.7929411497850816
e14b_J,E,True,J_lt_0.5,0.28034221534127124,0.9876791138757277,260,nan
e14b_J,E,True,J_0.5_0.8,0.49428302520370204,1.024776532330645,184,nan
e14b_J,E,True,J_ge_0.8,0.5792321425496072,1.065943135035808,150,nan
