scenario,name,variant,window_fraction,noise_sigma,mae,rmse,r2,mape,auroc,n_samples
A,physics_only,physics_only,0.2,0.0,0.05570444835505635,0.06389149641979545,0.9994976713354515,1.0669719806788958,1.0,50
A,lstm_only,lstm_only,0.2,0.0,2.735524991236667,3.4281621990077324,-0.44618737146186804,57.53203262765173,0.7741935483870968,50
A,physics_lstm,physics_lstm,0.2,0.0,0.17593229408461805,0.445208708708965,0.9756090260073829,2.036757308420834,0.9541595925297114,50
A,transformer,transformer,0.2,0.0,0.6309851436082243,1.2776336454453607,0.7991302581878826,9.011277043746649,0.9320882852292021,50
B,physics_only,physics_only,0.2,0.0,0.6462441026404742,1.3080900024387712,0.7533585890104948,8.024043691567682,0.9566666666666667,50
B,lstm_only,lstm_only,0.2,0.0,1.921851625289871,2.6214777780844796,0.009434713075572199,41.75694248511198,0.9683333333333334,50
B,physics_lstm,physics_lstm,0.2,0.0,0.3556721477580036,0.6182495164220828,0.9449042227573163,5.099935901734759,0.9650000000000001,50
B,transformer,transformer,0.2,0.0,0.594682207150734,0.8226566078780164,0.9024498538611695,10.290529974887898,0.97,50
C,physics_only,physics_only,0.2,0.0,0.1128897320219656,0.21252372335273617,0.9648893576890549,2.646577216290916,1.0,50
C,lstm_only,lstm_only,0.2,0.0,0.8083125621826603,1.150612372642554,-0.029157923182387746,20.359943012894146,0.634032634032634,50
C,physics_lstm,physics_lstm,0.2,0.0,0.1504878040502498,0.17705865602350504,0.9756298462487056,4.485510871593165,0.8694638694638694,50
C,transformer,transformer,0.2,0.0,0.1363917710591257,0.15716654303861796,0.9807981026401226,3.9221383220437738,1.0,50
