seed,scenario,variant,r2,mae,auroc,n_samples
42,D,physics_only,-2.865620354366541,2.2049714928873123,0.6527777777777778,40
42,D,lstm_only,0.2873470288606077,1.1798757524380687,0.6691919191919191,40
42,D,physics_lstm,0.11483825714026719,1.2506397313162776,0.6881313131313131,40
42,D,transformer,0.7523948798213606,0.7242200063190489,0.8181818181818181,40
42,E,physics_only,-6.688349168723784,2.6988135344531994,0.6809999999999999,45
42,E,lstm_only,0.5540063691060662,1.0218992273654774,0.74,45
42,E,physics_lstm,-0.15617064065641117,1.3431154153321225,0.674,45
42,E,transformer,0.5936289233199944,0.7629272956276173,0.8360000000000001,45
43,D,physics_only,-1.4634799211041685,1.4856093442638039,0.813840155945419,46
43,D,lstm_only,0.6338068969967334,0.7896419021672643,0.8908382066276803,46
43,D,physics_lstm,0.7323114418205745,0.7635392789331831,0.7953216374269005,46
43,D,transformer,0.7498589940207188,0.7519347601879841,0.7524366471734893,46
43,E,physics_only,-11.078986064821034,4.279516738092127,0.7911111111111111,45
43,E,lstm_only,0.27985295845361824,1.1073084126838975,0.82,45
43,E,physics_lstm,-0.9061903165176877,1.7472911558569741,0.6377777777777778,45
43,E,transformer,0.3202027800814087,1.0350194544288491,0.8422222222222223,45
44,D,physics_only,-0.7946599265455299,0.9631725069531406,0.9217171717171717,40
44,D,lstm_only,0.3308379204428763,0.6303845034833756,0.845959595959596,40
44,D,physics_lstm,0.359815787922937,0.7254533926387927,0.8964646464646464,40
44,D,transformer,0.49242709094572423,0.6226639140094644,0.9494949494949495,40
44,E,physics_only,-2.904025370241952,2.6934143206199,0.7200000000000001,50
44,E,lstm_only,0.5492919016357911,0.9755358684031641,0.8233333333333334,50
44,E,physics_lstm,0.6220908964347188,0.9782360936754232,0.775,50
44,E,transformer,0.6150956169794186,0.9455034480759976,0.8633333333333333,50
