seed,scenario,tau,r2,mae,auroc
42,D,0.0,0.7072890337481529,0.8072211668152217,0.8872180451127819
42,D,0.3,0.6677436365266869,0.8520365724925376,0.9197994987468672
42,D,0.5,0.6838918394710638,0.8252527405008682,0.924812030075188
42,D,0.7,0.6832868521718836,0.8038901492442498,0.9573934837092732
42,D,0.9,0.7020030496446865,0.777268179509972,0.9523809523809523
42,E,0.0,-0.22933391544099457,1.3832203354139831,0.5155709342560554
42,E,0.3,-0.5690705344383145,1.5869557833762291,0.5224913494809689
42,E,0.5,-0.4303887656841525,1.5069916274122708,0.5121107266435987
42,E,0.7,-0.2777639521729054,1.4258686440902735,0.5709342560553634
42,E,0.9,-0.14806458591178773,1.2970380891215796,0.5536332179930796
43,D,0.0,0.7404915853387057,0.6804123478879887,0.8972727272727272
43,D,0.3,0.7516692637291602,0.6576647647191206,0.8372727272727273
43,D,0.5,0.5912335916376366,0.7942290353029849,0.7763636363636363
43,D,0.7,0.7831053897370397,0.6561856905412627,0.8781818181818182
43,D,0.9,0.8053769346739927,0.6717636648224743,0.8245454545454546
43,E,0.0,-0.06801820529870084,1.4991387158211706,0.6544444444444445
43,E,0.3,-0.11962157505695714,1.6308035961177836,0.6622222222222222
43,E,0.5,0.11911398853206034,1.4536043245379386,0.5811111111111111
43,E,0.7,0.286756965402607,1.2628620160122375,0.7022222222222223
43,E,0.9,0.3643136993298931,1.1859792016054096,0.7622222222222222
44,D,0.0,0.34613743024341426,0.5037915954818831,0.9660633484162896
44,D,0.3,-0.07523235107640636,0.5913827873603107,0.8981900452488687
44,D,0.5,0.2273784629941058,0.5084951260890713,0.8755656108597285
44,D,0.7,0.40616210785332507,0.5360957757597092,0.830316742081448
44,D,0.9,0.4339255191807033,0.5868165863045044,0.8303167420814479
44,E,0.0,0.10390987646112104,1.8542632916112645,0.7318007662835249
44,E,0.3,0.16263590927502847,1.78831294671158,0.7174329501915708
44,E,0.5,0.3557710946639583,1.5416092082401378,0.8084291187739463
44,E,0.7,0.25172711881880216,1.7234850870826146,0.7528735632183908
44,E,0.9,0.437835813807125,1.330181367999957,0.8275862068965517
