seed,scenario,tau,r2,mae,auroc
42,D,0.0,0.7845678708656958,0.6355323003017402,0.8128440366972477
43,D,0.0,0.4990563613794411,0.9121443960153324,0.8538182831661092
44,D,0.0,0.7471437498505221,0.7026829731610735,0.826271186440678
42,D,0.3,0.7131659738482645,0.7619593725466857,0.828348623853211
43,D,0.3,0.687101976941484,0.6998630540026611,0.9051003344481605
44,D,0.3,0.6643334903490687,0.7840476678593274,0.8745184899845917
42,D,0.5,0.6833980776270108,0.7469924294095097,0.8341743119266055
43,D,0.5,0.47593436238747566,0.9238813996770264,0.8200250836120402
44,D,0.5,0.7014775289618467,0.7786182269572428,0.8072996918335901
42,D,0.7,0.6978710026367407,0.7452818929866553,0.8281651376146788
43,D,0.7,0.5942562363020356,0.8118900400268106,0.9225195094760312
44,D,0.7,0.7220186945979223,0.6961041309799413,0.8476502311248074
42,D,0.9,0.6754505781324085,0.7697714788216047,0.7555504587155963
43,D,0.9,0.5844303990631412,0.77131686900615,0.8989687848383501
44,D,0.9,0.6656657875744442,0.7774169214658081,0.827426810477658
42,E,0.0,0.29073999877582646,1.0923576332783753,0.6921626984126984
43,E,0.0,0.6229455838656299,0.7850856056738977,0.7952861952861953
44,E,0.0,0.46274601897574197,1.1549386891171398,0.7659442724458204
42,E,0.3,0.08004452850880428,1.21188871696947,0.6765873015873016
43,E,0.3,0.39014651378196175,0.9145103200515785,0.7847643097643098
44,E,0.3,0.5630522142617327,1.04032832827261,0.767905056759546
42,E,0.5,-0.8010353128563708,1.6230898487117744,0.6273313492063491
43,E,0.5,0.4119947442853513,0.9288764264112697,0.7931818181818182
44,E,0.5,0.5089353745449442,1.1346709649228255,0.7438080495356036
42,E,0.7,-0.16159949918963257,1.4131244792538968,0.6928571428571428
43,E,0.7,0.39209528855751563,0.9134054548026813,0.8117003367003368
44,E,0.7,0.5038111850640601,1.1632426163535323,0.7742002063983489
42,E,0.9,-0.4178538491813113,1.5228429152001117,0.6830357142857143
43,E,0.9,0.3498078393131465,0.9725872962082259,0.8372895622895623
44,E,0.9,0.48213771054026955,1.1332430403265552,0.8013415892672859
