method,window_fraction,mae,rmse,r2,auroc
direct_physics_lstm,0.1,0.2589155808089291,0.34449445530478107,0.9219234090213378,0.9780564263322884
inverse_gamma_reconstruct,0.1,1.390000035762787,1.6795833057822234,-0.855920926929862,nan
direct_physics_lstm,0.15,0.3784267466837297,0.5159158360106335,0.8248887340983996,0.9230769230769231
inverse_gamma_reconstruct,0.15,1.5725000214576723,1.936685324715527,-1.4675984770729045,nan
direct_physics_lstm,0.2,0.39356184259321886,0.5130773419717783,0.8268103069404853,0.9395604395604396
inverse_gamma_reconstruct,0.2,1.3575000309944154,1.6665083667998402,-0.8271380715166285,nan
direct_physics_lstm,0.3,0.30381596905445746,0.3726636663572475,0.90863276656192,0.9575
inverse_gamma_reconstruct,0.3,1.5425000405311589,1.851688447942056,-1.2557564325567419,nan
direct_physics_lstm,0.5,0.159738578734984,0.18976657225662297,0.9558594334281816,0.99
inverse_gamma_reconstruct,0.5,1.4933333937327073,1.8153053687808207,-3.0392232862373687,nan
