scenario,tau,r2,mae,rmse,auroc,n_samples
D,0.0,0.43876758141230576,0.9556305994539092,1.247494913416678,0.7885739991003149,212
D,0.3,0.21376176439485806,1.05622462797737,1.476537525836957,0.8267206477732794,212
D,0.5,0.6733839321496903,0.6837458714127181,0.9516695678752126,0.8090868196131354,212
D,0.7,0.4728666864422123,0.8725474394748516,1.2090037294721296,0.7757085020242915,212
D,0.9,0.334439466829172,0.9998402284963039,1.3585048377509807,0.8215924426450741,212
E,0.0,0.3338966516391516,1.1331006315746464,1.4660298933870268,0.8402823529411765,210
E,0.3,0.20707964874131324,1.1351126563034575,1.599509411917896,0.8372705882352941,210
E,0.5,0.14815595506758983,1.0936774713190176,1.6578760718954244,0.8681411764705881,210
E,0.7,0.15825485201402678,1.1166213668021367,1.64801943282885,0.8543058823529411,210
E,0.9,0.23638063435641277,1.0397419301350275,1.569677685656999,0.8589176470588236,210
