seed,arm,scenario,r2,mae,auroc,n_samples
42,e11a_w20,D,0.8530378616757415,0.5505552084979528,0.9423364969566579,1125
43,e11a_w20,D,0.7929525415909848,0.6263549048459514,0.9278326370208618,1116
44,e11a_w20,D,0.7948814615623956,0.6306160048126556,0.9214563971653837,1143
42,e11a_w20,E,0.7379263744349867,0.7164258641028439,0.9104674604674605,1169
43,e11a_w20,E,0.7025145952215799,0.7767433227384732,0.9058530073515125,1179
44,e11a_w20,E,0.6700190193913858,0.7864475071133017,0.895246541217479,1186
42,e11b_1000,D,0.4406682935277637,1.0958928983227116,0.869048834149882,1706
43,e11b_1000,D,0.6124077139861968,0.9043912893024411,0.8580122707481198,1701
44,e11b_1000,D,0.479150276204259,1.0114236165462525,0.8327873281772433,1717
42,e11b_1000,E,0.3363515231326657,1.4645811443079355,0.8214291731721838,1717
43,e11b_1000,E,0.5131518709264653,1.0975305747658677,0.8113526005199664,1741
44,e11b_1000,E,0.5615411672638686,1.095329472545689,0.8237691139932027,1781
42,e11b_500,D,0.703935806472711,0.8243464797599352,0.9003031555739286,846
43,e11b_500,D,0.32577957903788857,1.1832396879234321,0.8069843191513892,844
44,e11b_500,D,0.6708517633713056,0.8299213619637256,0.8610537782364407,852
42,e11b_500,E,0.6213978130375948,0.9487368176118786,0.8632627389743757,875
43,e11b_500,E,0.41882549802890023,1.1592117897407173,0.8219918349806618,878
44,e11b_500,E,0.5691702639162235,0.9644298179001475,0.8554882913575987,879
42,e7a_w50,D,0.7659016459091234,0.5410555826479192,0.9100412459109657,336
43,e7a_w50,D,0.762080750327698,0.5386296993420345,0.8835812356979404,336
44,e7a_w50,D,0.7376592856169233,0.5285055015978772,0.863777673104098,358
42,e7a_w50,E,0.5233377502300991,0.8165682045668526,0.8204694713570453,351
43,e7a_w50,E,0.5142469214699423,0.8130458799520406,0.8036719706242351,362
44,e7a_w50,E,0.4764072964352356,0.8373307437645645,0.7860268737672584,361
