seed,arm,scenario,r2,mae,auroc,n_samples
42,seen,D,0.8530378616757415,0.5505552084979528,0.9423364969566579,1125
42,seen,E,0.7379263744349867,0.7164258641028439,0.9104674604674605,1169
42,unseen,D,0.8588629985030365,0.5360558652944786,0.9454324632116402,1114
42,unseen,E,0.7026489164164775,0.7963740146826048,0.8918483111123131,1130
43,seen,D,0.7929525415909848,0.6263549048459514,0.9278326370208618,1116
43,seen,E,0.7025145952215799,0.7767433227384732,0.9058530073515125,1179
43,unseen,D,0.7973867393340233,0.6078512747860023,0.9357677168017099,1129
43,unseen,E,0.6418693099104664,0.8277170873990602,0.9013744845682868,1179
44,seen,D,0.7948814615623956,0.6306160048126556,0.9214563971653837,1143
44,seen,E,0.6700190193913858,0.7864475071133017,0.895246541217479,1186
44,unseen,D,0.7852667566570946,0.6225656881537528,0.9205478615693018,1124
44,unseen,E,0.7210177915730539,0.792884032099696,0.8961244968694096,1104
